ep,tr,vl,acc
1,0.8065720163415907,0.8858622031409014,0.49093925472179684
2,0.7824863887029219,0.9095344051467696,0.48749361919346607
3,0.7729075094288692,0.8434586199100313,0.5213118938233793
4,0.7569346132405861,0.7795685355367559,0.5548749361919346
5,0.7401202546851853,0.8735509220892949,0.5298621745788668
6,0.7214602708694011,0.7552921954559513,0.5980091883614089
7,0.7092485131854757,0.7622878239311814,0.5994129657988769
8,0.7019509258887751,0.8006468076161914,0.5770801429300664
9,0.6871563153056177,0.7111069430435963,0.6213629402756509
10,0.6852739764264529,0.7222035429561667,0.6306789178152118
11,0.6755390335330003,0.65471549375499,0.6815977539561
12,0.6635396656495082,0.6501082915807026,0.6744512506380806
13,0.6545951845160736,0.6518097988131583,0.6812149055640633
14,0.6533198926027363,0.6897053719936067,0.6627105666156202
15,0.6451383597804243,0.6397312790109771,0.6869576314446146
16,0.6486377907865216,0.7677363137191141,0.6179173047473201
17,0.6313466196069982,0.6540271049710547,0.6744512506380806
18,0.6213832786798722,0.6370879706525876,0.6886166411434406
19,0.6216408514902991,0.6989364257997978,0.6541602858601328
20,0.612516600696058,0.6117326418710887,0.7197549770290965
21,0.6107945124512464,0.6011705884615823,0.7280500255232262
22,0.6000134210302308,0.6455393942446658,0.6964012251148545
23,0.593775829332828,0.6001080243547332,0.7230729964267484
24,0.5835662951572336,0.5320197028460217,0.7845839714139867
25,0.5854005590678486,0.6920604548355704,0.667687595712098
26,0.5753076811366067,0.5671302510987379,0.7466819806023481
27,0.5652976995626922,0.6440209609443525,0.6844053088310362
28,0.5606553331185955,0.5829936793533255,0.7323889739663093
29,0.5566284810957659,0.6181688403188725,0.7091628381827463
30,0.5557868986188569,0.5242459624777527,0.7770546197039305
31,0.5407537667197534,0.5594858810374054,0.7459162838182747
32,0.5363685371084301,0.5242629885490967,0.774885145482389
33,0.5268262723121957,0.5828219392717706,0.7447677386421644
34,0.5187850839922632,0.4887696582407535,0.7974732006125574
35,0.5033256798247516,0.6215832622730348,0.7094180704441041
36,0.5025012509183305,0.5361047384156568,0.7649310872894334
37,0.4950831096133127,0.4061137167637052,0.8589841755997958
38,0.4765372527956595,0.5396390537892513,0.7616130678917815
39,0.4740820376748049,0.4066664854016092,0.8504338948443083
40,0.45513573126275886,0.45986218632956194,0.8111281265952016
41,0.4523220234193513,0.45052844945449744,0.8158499234303216
42,0.45621393942881955,0.36236086015405555,0.8666411434405309
43,0.4409604538748958,0.5408005999831931,0.7658244002041859
44,0.4261006719338012,0.3953112838918181,0.8449464012251149
45,0.4220773615241663,0.4655499591293872,0.7992598264420623
46,0.40491087700088124,0.3287964755894579,0.8824655436447167
47,0.4006527578597936,0.5047893059991905,0.7802450229709035
48,0.39288814998971716,0.5297815149470274,0.7729709035222052
49,0.3877677381651252,0.4492372967856173,0.8139356814701378
50,0.3800683340059645,0.38985650309833597,0.8409903011740684
51,0.36984437517860075,0.3286749456665417,0.8720010209290454
52,0.3512382309734515,0.3332954079688599,0.8720010209290454
53,0.34779562766358396,0.3532012913712681,0.8594946401225115
54,0.34983892071406375,0.3735540877702499,0.8503062787136294
55,0.3291555864409087,0.3999891784127693,0.8343542623787646
56,0.32464491894654357,0.2477559928780858,0.9134762633996937
57,0.3205951165871164,0.2916708189885704,0.8811893823379275
58,0.30910301622298125,0.2919536371348828,0.8862940275650842
59,0.29907879964788303,0.2673990762639922,0.8977794793261868
60,0.2943301902706797,0.3264929393411915,0.8737876467585503
61,0.28891625225712436,0.29107064388943393,0.8820826952526799
62,0.2873364956963344,0.26378257149633644,0.8934405308831036
63,0.27444607417337513,0.36927954002267827,0.855538540071465
64,0.27023333797474436,0.1966613649745767,0.9323634507401736
65,0.2592937284665142,0.22727681608274464,0.9134762633996937
66,0.25939255269341943,0.20972401079127015,0.9249617151607963
67,0.25630692849577025,0.2409263506309225,0.9074783052577846
68,0.25488143558523024,0.2044451208285999,0.9248340990301174
69,0.24343199665904167,0.2089941016131667,0.9206227667177131
70,0.23796735614813858,0.21131031814203877,0.9170495150587035
71,0.23493513022716955,0.20544129707615189,0.9234303215926493
72,0.23373447851644483,0.17793850606139094,0.9381061766207248
73,0.22604056586188867,0.20940145095425214,0.9207503828483921
74,0.22839810252342782,0.21658576345199557,0.9162838182746299
75,0.2196546540613777,0.18958538379890996,0.9303215926493109
76,0.2177889953414313,0.16588805315397098,0.9507401735579377
77,0.2149635923760278,0.2506324590025484,0.8993108728943339
78,0.21066596561933715,0.17016284517190813,0.9424451250638081
79,0.20754029283114353,0.20856091652955477,0.9204951505870342
80,0.20780423686199295,0.19849209675984672,0.9225370086778969
81,0.19555478305206514,0.23698682680577723,0.9045431342521695
82,0.19805294725994166,0.1699954434704452,0.9389994895354773
83,0.19399442768292952,0.18954427120280073,0.9277692700357325
84,0.19227009305897008,0.19552528814827683,0.9215160796324655
85,0.185581360731316,0.1516022394050432,0.9453802960694232
86,0.18285097398882288,0.14747705076041007,0.9502297090352221
87,0.18760565735039827,0.14452251042474695,0.9499744767738643
88,0.17806977789393433,0.16999245880693653,0.9361919346605411
89,0.1856651834063883,0.20620315653738347,0.9170495150587035
90,0.18001237327705796,0.1524445091190236,0.9433384379785605
91,0.1769505195725491,0.16597365878043185,0.9370852475752935
92,0.1742032491882453,0.18165176864506627,0.928662582950485
93,0.1675753637803728,0.16130663466726816,0.9405308831036243
94,0.1685607099218365,0.15141483977476952,0.9453802960694232
95,0.1638403525631511,0.13633456287561854,0.9541858090862685
96,0.16556145258033447,0.14197224326671357,0.9497192445125063
97,0.15939699246606504,0.16781580279820854,0.937850944359367
98,0.16221179363450833,0.13922809191821156,0.9515058703420113
99,0.1651340075392364,0.12925380588028507,0.9573762123532414
100,0.15734598682839174,0.12208238945650664,0.9619703930576825
101,0.15637633931255476,0.13112995433970534,0.9563552833078101
102,0.15519776030272275,0.12021663024091657,0.9614599285349669
103,0.15101094002177878,0.12892590432925574,0.9548238897396631
104,0.14637885600068096,0.1318693410339202,0.9559724349157733
105,0.15639071617455425,0.15924529053319308,0.9421898928024502
106,0.15378179778167853,0.12992924516507143,0.9540581929555896
107,0.1529467581684212,0.13995465432945497,0.9498468606431854
108,0.14583343264454438,0.13636232492660855,0.9483154670750383
109,0.1415974009142689,0.14056803135751855,0.9492087799897907
110,0.1388699365620868,0.1285057897753671,0.9558448187850944
111,0.14373099744496512,0.12052974494738906,0.9599285349668198
112,0.1399448406207782,0.1255799313047316,0.9569933639612047
113,0.13859805750087734,0.14401770705178202,0.9452526799387443
114,0.1393914540695507,0.1340493266463599,0.9508677896886166
115,0.1395007847154557,0.1278108797605887,0.9540581929555896
116,0.14009012115041497,0.12184580759777136,0.9568657478305258
117,0.13531021876806223,0.10470470482666062,0.9682235834609495
118,0.13277792243357797,0.10461689823536718,0.9672026544155181
119,0.13205223353321205,0.11804210556354403,0.9591628381827463
120,0.129860846314652,0.10978584920568178,0.9641398672792241
121,0.12874868536312498,0.11101225193926514,0.9637570188871873
122,0.12462939358903105,0.1152799062007984,0.9617151607963247
123,0.1277243759661132,0.11648237937526523,0.962608473711077
124,0.1265242257673305,0.15574322675214297,0.9398928024502297
