ep,tr,vl,acc
1,0.7103229988515684,0.7015332619775126,0.5937978560490046
2,0.6913383085828155,0.6859239643784796,0.6123021949974476
3,0.6815172370634246,0.6639351140120128,0.6411434405308831
4,0.6699380437369704,0.6628418285485249,0.6389739663093414
5,0.6632081178574989,0.6395284198509789,0.6703675344563553
6,0.6527783224173465,0.6319648959826547,0.6750893312914752
7,0.6417843288287352,0.6260621165243444,0.6781521184277692
8,0.6308564253725717,0.6079851233758387,0.6949974476773865
9,0.6252182820350514,0.5834135589336729,0.7233282286881062
10,0.6153595667458757,0.6128134907296021,0.6897651863195507
11,0.6054333801014695,0.5808196342557349,0.7163093415007658
12,0.600017635452294,0.5815364011487771,0.7224349157733537
13,0.5930839959298474,0.5588254148160516,0.7395354772843288
14,0.5869915779791045,0.5471743007075002,0.7494895354772844
15,0.582229519061905,0.5459957512104128,0.7451505870342011
16,0.5775566063828973,0.5450365599957944,0.7423430321592649
17,0.5734189106161033,0.5326426222258651,0.7533180193976519
18,0.5715977856458643,0.541560765977658,0.7447677386421644
19,0.5634841901731638,0.5383172320917956,0.7545941807044411
20,0.5526469983397873,0.5294270224036338,0.7568912710566615
21,0.5487428836011445,0.518209893045345,0.7645482388973966
22,0.5432215005618818,0.49752384597638116,0.7739918325676366
23,0.5372517255937943,0.4862397127366906,0.7821592649310873
24,0.5334097127752706,0.486244346792446,0.7827973455844819
25,0.5281006154519068,0.4719338378488196,0.7926237876467586
26,0.5228198605720701,0.4675123055578191,0.7936447166921899
27,0.5168504737325219,0.4669519710321704,0.7921133231240429
28,0.5121283565983865,0.4677555341085285,0.7903266972945381
29,0.5132536391927675,0.45733510838624714,0.7984941296579887
30,0.4924800014079291,0.4451310091279732,0.8042368555385401
31,0.4921299905595652,0.4403243079713074,0.8080653394589076
32,0.49059873861007064,0.42235466052890736,0.8192955589586524
33,0.4805038093479172,0.4508773634869143,0.8034711587544666
34,0.4728396891383693,0.4467582731275245,0.8072996426748341
35,0.46892496710078446,0.406497192807256,0.8278458397141398
36,0.46162198995147186,0.3831342874382941,0.8365237366003063
37,0.45621818158266353,0.3850407626645306,0.8394589076059213
38,0.44756399402883046,0.38698796281565384,0.8374170495150587
39,0.442746175707673,0.4016829665356628,0.8340990301174068
40,0.4357673111579401,0.37704486870542053,0.8407350689127105
41,0.42584925947858276,0.36104455464740626,0.8467330270546197
42,0.4235985507945485,0.3560679342261135,0.8504338948443083
43,0.4164068221165306,0.39984842050381314,0.8326952526799387
44,0.4116445305719895,0.3341136923884177,0.8630678917815212
45,0.39992175537170144,0.3245785586524521,0.8686830015313936
46,0.39632954220732586,0.3177002583377942,0.8714905564063298
47,0.3838147579490342,0.3058985162178371,0.8739152628892292
48,0.38581648491636944,0.3140039016502648,0.8713629402756509
49,0.37981705493451634,0.30029392752448414,0.8776161306789179
50,0.3741475803940294,0.2882733902056768,0.8841245533435427
51,0.3642362529302795,0.3221247729033825,0.8732771822358346
52,0.35831042865993795,0.27703985109195045,0.8888463501786625
53,0.3592145357935671,0.3066594857967831,0.871107708014293
54,0.3456868123420096,0.2703531702372829,0.8957376212353242
55,0.3400805004270324,0.2711627660048227,0.8888463501786625
56,0.3355512768734641,0.26517869281949075,0.9003318019397651
57,0.32949532387129205,0.2597764722466651,0.8989280245022971
58,0.32409667889113786,0.2762468859559042,0.894461459928535
59,0.3189080204986962,0.27788598467788417,0.8930576824910669
60,0.3152174901557973,0.2417677713224342,0.9053088310362429
61,0.310508698776349,0.24588914525054772,0.9047983665135273
62,0.29714021290990333,0.24134529577097522,0.9078611536498213
63,0.2956404541036208,0.23493048037540676,0.911434405308831
64,0.29514296705713006,0.2312183490944356,0.909903011740684
65,0.28836239127160834,0.23535064568209704,0.9081163859111792
66,0.2814752101500012,0.21349758306406952,0.9162838182746299
67,0.27678846942312546,0.2338266571196421,0.9091373149566105
68,0.26995811444331047,0.20533893706354028,0.9212608473711077
