ep,tr,vl,acc
1,0.7244692762611091,0.7271284963964139,0.45176110260336905
2,0.7242908488932274,0.7258540014030375,0.45176110260336905
3,0.7242079056914271,0.7259564683594346,0.45176110260336905
4,0.7243478156434792,0.7252347202797579,0.45176110260336905
5,0.7242693382323953,0.7261610485693214,0.45176110260336905
6,0.7241051872489631,0.7261314385700371,0.45176110260336905
7,0.724355092176063,0.724875240650878,0.45176110260336905
8,0.7241475872611215,0.7269631448054934,0.45176110260336905
9,0.7243152074554107,0.7244926701095896,0.45176110260336905
10,0.7242805776836203,0.7257209694951453,0.45176110260336905
11,0.7241756275770965,0.7255539336394388,0.45176110260336905
12,0.7242733293055018,0.7252701941712162,0.45176110260336905
13,0.7241386368365351,0.7255081721505929,0.45176110260336905
14,0.7243112197760321,0.7252136349312926,0.45176110260336905
15,0.7243474476506506,0.7253829195159865,0.45176110260336905
16,0.7241605816127585,0.7255194284831948,0.45176110260336905
17,0.7243552502355742,0.7247217056579648,0.45176110260336905
18,0.7241210987364523,0.7268898184047541,0.45176110260336905
19,0.7241798506611298,0.7267683740779415,0.45176110260336905
20,0.7243697115108141,0.7259904388081607,0.45176110260336905
21,0.7243433896708709,0.7247653176371938,0.45176110260336905
22,0.7243143891994167,0.7254433839098418,0.45176110260336905
23,0.7243063617585742,0.7250332928178503,0.45176110260336905
24,0.7241929662680945,0.7262050254786726,0.45176110260336905
25,0.7241772027937016,0.7244678063012921,0.45176110260336905
26,0.7241799918255115,0.7267366860398472,0.45176110260336905
27,0.7242004808884608,0.7269223374393048,0.45176110260336905
28,0.724165091093128,0.7266174552086484,0.45176110260336905
29,0.7241628754053184,0.7259736574079505,0.45176110260336905
30,0.7240056885354688,0.7272356576065192,0.45176110260336905
31,0.7243267291496371,0.7241657050426302,0.45176110260336905
32,0.724283650551156,0.7258891497965428,0.45176110260336905
33,0.7241185048378751,0.7270556584251603,0.45176110260336905
34,0.7241476417567968,0.7271333424457183,0.45176110260336905
35,0.7241457446383548,0.7262428283326293,0.45176110260336905
36,0.7241741436848538,0.7263259815585559,0.45176110260336905
37,0.7243435221242758,0.7247916875352903,0.45176110260336905
38,0.7241925530051401,0.726243322603918,0.45176110260336905
39,0.7242181237775522,0.7256061582616423,0.45176110260336905
40,0.7241195164873568,0.7265767707941543,0.45176110260336905
41,0.723997166541473,0.7266209287081159,0.45176110260336905
42,0.7242751572752048,0.7255765331101819,0.45176110260336905
43,0.7241942987780164,0.7261223775686932,0.45176110260336905
