ep,tr,vl,acc
1,0.8655594199436419,0.8864162798862545,0.3790199081163859
2,0.8634123910980381,0.8816714952222056,0.3790199081163859
3,0.8631090384103044,0.882980937249445,0.3790199081163859
4,0.862879501339833,0.8819441576281514,0.3790199081163859
5,0.8640631241274027,0.8780946954286116,0.3790199081163859
6,0.8640002361426986,0.8797512787407061,0.3790199081163859
7,0.8625900104626599,0.8848934452895183,0.3790199081163859
8,0.8624673376102977,0.8858827467534297,0.3790199081163859
9,0.863256414086086,0.8797329932588165,0.3790199081163859
10,0.8626495718588442,0.883167016560962,0.3790199081163859
11,0.8627600509975821,0.8843732279986372,0.3790199081163859
12,0.862281250341088,0.885291017854378,0.3790199081163859
13,0.8610167319090981,0.8893294735122785,0.3790199081163859
14,0.8631006795357825,0.8838996708301818,0.3790199081163859
15,0.8622878771769179,0.885177333358601,0.3790199081163859
16,0.8627877161289658,0.887494940487568,0.3790199081163859
17,0.863664413441857,0.8801063707192496,0.3790199081163859
18,0.8633493953961631,0.8814100256192556,0.3790199081163859
19,0.8626406152838916,0.8853530896568006,0.3790199081163859
20,0.8627293028297307,0.8850125897715687,0.3790199081163859
21,0.8626214062077169,0.884206395784527,0.3790199081163859
22,0.862058213399101,0.8866732137856769,0.3790199081163859
23,0.8624942857584508,0.8834075034121094,0.3790199081163859
24,0.8629892706258446,0.8798231878653054,0.3790199081163859
25,0.862810773031072,0.8855175189730949,0.3790199081163859
26,0.8621548973766653,0.8872290915405951,0.3790199081163859
27,0.8630574626765786,0.8845843861698192,0.3790199081163859
28,0.863084291345904,0.8815085353018861,0.3790199081163859
29,0.8625011873759811,0.8852530466834765,0.3790199081163859
30,0.8630686838727326,0.8834582271473697,0.3790199081163859
31,0.862796777982996,0.886270071609462,0.3790199081163859
32,0.8620324983626206,0.8867664317077005,0.3790199081163859
33,0.8617067629484821,0.8888270948053684,0.3790199081163859
34,0.862931006760906,0.8853701325689669,0.3790199081163859
35,0.8631429416547699,0.8834586128889145,0.3790199081163859
36,0.8623655431929742,0.8805615489369695,0.3790199081163859
37,0.8626723180449388,0.8838981967790204,0.3790199081163859
38,0.8631898896422195,0.8834855018859618,0.3790199081163859
39,0.86237076735325,0.8870471664811349,0.3790199081163859
40,0.8619383889626624,0.8877468815623892,0.3790199081163859
41,0.8630862695707692,0.8841288036810859,0.3790199081163859
42,0.8623910480511029,0.8844609483277815,0.3790199081163859
43,0.8626391826161133,0.8849980015119404,0.3790199081163859
44,0.8633072180958715,0.8823783653253435,0.3790199081163859
45,0.8629235546855986,0.8839836859958643,0.3790199081163859
46,0.8623713041626048,0.8837373760538846,0.3790199081163859
47,0.8624296016707818,0.887279271623077,0.3790199081163859
48,0.863176503504903,0.8807344560783819,0.3790199081163859
49,0.8616806304834607,0.8849742748470802,0.3790199081163859
50,0.8617002052981464,0.8808339387863007,0.3790199081163859
51,0.8613537401236586,0.8794937415838606,0.3790199081163859
52,0.8582657405675866,0.8794253299648875,0.3790199081163859
53,0.8338197674070086,0.7934019208684632,0.5505359877488515
54,0.8030985215707526,0.7599199813595227,0.6145992853496682
55,0.7820795436434731,0.7396643036722589,0.6398672792240939
56,0.7694519867142328,0.7518272710248121,0.6108984175599795
57,0.7580240112904532,0.7447353423463258,0.618044920877999
58,0.7490790348381324,0.7893334744900328,0.5647013782542113
59,0.7370844612263702,0.713372851358256,0.6586268504338948
60,0.7333827457839637,0.7072729131985587,0.6651352730985196
61,0.7272987815238466,0.7025313216274401,0.670877998979071
62,0.7202307759429053,0.6819886905219616,0.6999744767738643
63,0.7110014845570214,0.6794569145026652,0.6976773864216437
64,0.702664055676034,0.7119822901478222,0.6523736600306279
65,0.694854158549,0.6632656277960329,0.7021439509954058
66,0.6757957567658969,0.6908971322258253,0.6755997958141909
67,0.669494620648587,0.6602169691055876,0.7036753445635529
68,0.6645267136908019,0.6849039155892902,0.6715160796324655
69,0.6579062218349983,0.6181274349437555,0.765441551812149
70,0.6568149150091722,0.6541373328081864,0.6994640122511485
71,0.6345964137598765,0.603770094343203,0.7477029096477795
72,0.619596236478633,0.5853583631982847,0.7658244002041859
73,0.6170204330813848,0.5844220598934255,0.7540837161817253
74,0.6066390609140876,0.5638966138886822,0.7741194486983155
75,0.5969105083307774,0.6509866732276782,0.7006125574272588
76,0.5780355278107759,0.560155909194698,0.764037774374681
77,0.5660717933665567,0.6618113617710826,0.6854262378764676
78,0.5569141638119689,0.5371152922899033,0.7847115875446656
79,0.5492286588341947,0.5797897404313636,0.7411944869831547
80,0.5355384967248706,0.521239267967379,0.7931342521694742
81,0.5256018854118693,0.48949625939815367,0.8186574783052578
82,0.5145225000651008,0.5957572631777519,0.7266462480857581
83,0.5031697195578455,0.5284488767750596,0.8301429300663604
84,0.5012596958648999,0.47229278721999246,0.826059213884635
85,0.49136626164200126,0.517968910530917,0.7884124553343542
86,0.4760695044942897,0.47119353841676465,0.8159775395610005
87,0.46937089340966137,0.4486759857233231,0.830781010719755
88,0.46220847406833293,0.4478801336213604,0.8266972945380296
89,0.45612059314902736,0.47629386031426846,0.8021949974476774
90,0.45187086035083035,0.48754823733845676,0.8097243491577335
91,0.438685006932389,0.43500302124990986,0.829122001020929
92,0.43645378147220315,0.42926368395730874,0.8340990301174068
93,0.42535055168853636,0.42166710034537647,0.8380551301684533
94,0.4179610540724732,0.402476827044947,0.8501786625829505
95,0.41358101862307567,0.44128398813170366,0.8584737110770801
96,0.41305596675314127,0.4439187998702296,0.8176365492598264
97,0.39977088579170994,0.43144839292372167,0.8236345074017356
98,0.3915649619677084,0.36828788310563215,0.8676620724859623
99,0.39052827026224085,0.38246388494922773,0.8519652884124553
100,0.38116936479663555,0.3644720987284165,0.8768504338948443
101,0.38149374562324256,0.38949513194617597,0.8412455334354262
102,0.3783171016412796,0.49587676050583585,0.7968351199591628
103,0.37555136103546755,0.35357448006844633,0.8693210821847882
104,0.3659110738035341,0.3632006459907952,0.8592394078611536
105,0.36726854447838214,0.38615492981206767,0.849540581929556
106,0.3606718910530684,0.33112088452802135,0.897524247064829
107,0.3445341976977816,0.33651082595356757,0.8860387953037264
108,0.35115898551700786,0.3336222005428983,0.8832312404287902
109,0.34489946034559854,0.31823072612148695,0.886676875957121
110,0.33483835255070554,0.3835892576844093,0.8462225625319041
111,0.3353924378737394,0.3570853291367499,0.8549004594180705
112,0.32660535572427885,0.3363282201843048,0.8999489535477284
113,0.32278651449932716,0.30162648870902076,0.8903777437468096
114,0.3061355371422537,0.3669554656956225,0.8527309851965288
115,0.31225055445747535,0.2951307499276369,0.9046707503828484
116,0.3078803365362879,0.2963089185551516,0.8980347115875447
117,0.30274574810108756,0.30999086465213055,0.8781265952016335
118,0.2979368722512323,0.3722996443715431,0.8397141398672793
119,0.29721063479918985,0.2904665889945823,0.8976518631955079
120,0.28590769780702113,0.28499617738931643,0.9127105666156202
121,0.28266563316900956,0.2888272887332562,0.8953547728432873
122,0.2825860834394305,0.276768234870746,0.8961204696273609
123,0.2759698302319459,0.27035084106512997,0.9173047473200613
124,0.2742459950625958,0.33284433149542964,0.864982133741705
125,0.2696333052864239,0.2589050571949066,0.9077335375191424
126,0.26363399752395617,0.24872731795223577,0.9210056151097499
127,0.26395298443190973,0.2589013889705788,0.9175599795814191
128,0.265006277980503,0.2488447387045275,0.919218989280245
129,0.251877797090995,0.2786597706274818,0.8963757018887187
130,0.24939488553712938,0.2765697892840843,0.900459418070444
131,0.24596656835489625,0.26136383958229337,0.9119448698315467
132,0.24832801269817206,0.26822022182487554,0.9087544665645738
133,0.24635190733106385,0.40092707801878363,0.8252935171005615
134,0.23712131805250847,0.2657665737361218,0.8968861664114344
135,0.24183561607414258,0.2607773847444408,0.9013527309851965
136,0.22948423335816853,0.2783251266818134,0.8924196018376723
137,0.23829801168966605,0.2893329522676572,0.8833588565594691
138,0.226142401198444,0.2479250493244044,0.9065849923430321
139,0.22620618085913888,0.2659402172670202,0.8976518631955079
140,0.22443928736638188,0.225361023901193,0.9257274119448698
141,0.2129606919231052,0.25680103975064356,0.9025012761613068
142,0.22038938874821012,0.21743112930009686,0.927003573251659
143,0.2116405150100765,0.2330368546395353,0.9204951505870342
144,0.21848681974191245,0.25097107670482416,0.906712608473711
145,0.2106235435670902,0.2214854019544277,0.9201123021949974
146,0.20135903337708114,0.3174796338331462,0.8755742725880551
147,0.20757950343429002,0.2805214703801854,0.8860387953037264
148,0.20229510125863956,0.2295320197960553,0.9305768249106687
149,0.2050932402218111,0.20488205392221717,0.9332567636549259
150,0.18942965791931132,0.2279449604764712,0.9322358346094947
